Appl,Browser,CLDR Short Name,Code,DCM,FB,GMail,Goog,Joy,KDDI,SB,Sams,Twtr,Wind,№
846,U+1F5FC,🗼,,,,,,,,,,—,,Tokyo tower
847,U+1F5FD,🗽,,,,,,,,,,—,—,Statue of Liberty
place-religious,place-religious,place-religious,place-religious,place-religious,place-religious,place-religious,place-religious,place-religious,place-religious,place-religious,place-religious,place-religious,place-religious,place-religious
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
848,U+26EA,⛪,,,,,,,,,,—,,church
849,U+1F54C,🕌,,,,,,,,—,—,—,—,mosque
850,U+1F6D5,🛕,,,,,,,,—,—,—,—,hindu temple
851,U+1F54D,🕍,,,,,,,,—,—,—,—,synagogue
852,U+26E9,⛩,,,,,,,,—,—,—,—,shinto shrine
853,U+1F54B,🕋,,,,,,,,—,—,—,—,kaaba
place-other,place-other,place-other,place-other,place-other,place-other,place-other,place-other,place-other,place-other,place-other,place-other,place-other,place-other,place-other
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
854,U+26F2,⛲,,,,,,,,,,—,,fountain
855,U+26FA,⛺,,,,,,,,,,—,,tent
856,U+1F301,🌁,,,,,,,,,—,,,foggy
857,U+1F303,🌃,,,,,,,,,,,,night with stars
858,U+1F3D9,🏙,,,,,,,,—,—,—,—,cityscape
859,U+1F304,🌄,,,,,,,,,,—,—,sunrise over mountains
860,U+1F305,🌅,,,,,,,,,,—,,sunrise
861,U+1F306,🌆,,,,,,,,,,—,,cityscape at dusk
862,U+1F307,🌇,,,,,,,,,,—,—,sunset
863,U+1F309,🌉,,,,,,,,,—,—,,bridge at night
864,U+2668,♨,,,,,,,,,,,,hot springs
865,U+1F3A0,🎠,,,,,,,,,—,,—,carousel horse
866,U+1F6DD,🛝,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ playground slide
867,U+1F3A1,🎡,,,,,,,,,,—,,ferris wheel
868,U+1F3A2,🎢,,,,,,,,,,—,,roller coaster
869,U+1F488,💈,,,,,,,,,,—,,barber pole
870,U+1F3AA,🎪,,,,,,,,,—,,,circus tent
transport-ground,transport-ground,transport-ground,transport-ground,transport-ground,transport-ground,transport-ground,transport-ground,transport-ground,transport-ground,transport-ground,transport-ground,transport-ground,transport-ground,transport-ground
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
871,U+1F682,🚂,,,,,,,,—,—,—,—,locomotive
872,U+1F683,🚃,,,,,,,,,,,,railway car
873,U+1F684,🚄,,,,,,,,,,,—,high-speed train
874,U+1F685,🚅,,,,,,,,,,—,,bullet train
875,U+1F686,🚆,,,,,,,,—,—,—,—,train
876,U+1F687,🚇,,,,,,,,,,—,,metro
877,U+1F688,🚈,,,,,,,,—,—,—,—,light rail
878,U+1F689,🚉,,,,,,,,,,—,,station
879,U+1F68A,🚊,,,,,,,,—,—,—,—,tram
880,U+1F69D,🚝,,,,,,,,—,—,—,—,monorail
881,U+1F69E,🚞,,,,,,,,—,—,—,—,mountain railway
882,U+1F68B,🚋,,,,,,,,—,—,—,—,tram car
883,U+1F68C,🚌,,,,,,,,,,,,bus
884,U+1F68D,🚍,,,,,,,,—,—,—,—,oncoming bus
885,U+1F68E,🚎,,,,,,,,—,—,—,—,trolleybus
886,U+1F690,🚐,,,,,,,,—,—,—,—,minibus
887,U+1F691,🚑,,,,,,,,,,—,,ambulance
888,U+1F692,🚒,,,,,,,,,,—,,fire engine
889,U+1F693,🚓,,,,,,,,,,—,,police car
890,U+1F694,🚔,,,,,,,,—,—,—,—,oncoming police car
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
891,U+1F695,🚕,,,,,,,,,,—,—,taxi
892,U+1F696,🚖,,,,,,,,—,—,—,—,oncoming taxi
893,U+1F697,🚗,,,,,,,,,,,,automobile
894,U+1F698,🚘,,,,,,,,—,—,—,—,oncoming automobile
895,U+1F699,🚙,,,,,,,,,,,—,sport utility vehicle
896,U+1F6FB,🛻,,,—,—,,,—,—,—,—,—,pickup truck
897,U+1F69A,🚚,,,,,,,,,,—,,delivery truck
898,U+1F69B,🚛,,,,,,,,—,—,—,—,articulated lorry
899,U+1F69C,🚜,,,,,,,,—,—,—,—,tractor
900,U+1F3CE,🏎,,,,,,,,—,—,—,—,racing car
901,U+1F3CD,🏍,,,,,,,,—,—,—,—,motorcycle
902,U+1F6F5,🛵,,,,,,,,—,—,—,—,motor scooter
903,U+1F9BD,🦽,,,,,,,,—,—,—,—,manual wheelchair
904,U+1F9BC,🦼,,,,,,,,—,—,—,—,motorized wheelchair
905,U+1F6FA,🛺,,,,,,,,—,—,—,—,auto rickshaw
906,U+1F6B2,🚲,,,,,,,,,,,,bicycle
907,U+1F6F4,🛴,,,,,,,,—,—,—,—,kick scooter
908,U+1F6F9,🛹,,,,,,,,—,—,—,—,skateboard
909,U+1F6FC,🛼,,,—,—,,,—,—,—,—,—,roller skate
910,U+1F68F,🚏,,,,,,,,,,—,,bus stop
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
911,U+1F6E3,🛣,,,,,,,,—,—,—,—,motorway
912,U+1F6E4,🛤,,,,,,,,—,—,—,—,railway track
913,U+1F6E2,🛢,,,,,,,,—,—,—,—,oil drum
914,U+26FD,⛽,,,,,,,,,,,,fuel pump
915,U+1F6DE,🛞,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ wheel
916,U+1F6A8,🚨,,,,,,,,,—,—,,police car light
917,U+1F6A5,🚥,,,,,,,,,,,,horizontal traffic light
918,U+1F6A6,🚦,,,,,,,,—,—,—,—,vertical traffic light
919,U+1F6D1,🛑,,,,,,,,—,—,—,—,stop sign
920,U+1F6A7,🚧,,,,,,,,,,—,,construction
transport-water,transport-water,transport-water,transport-water,transport-water,transport-water,transport-water,transport-water,transport-water,transport-water,transport-water,transport-water,transport-water,transport-water,transport-water
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
921,U+2693,⚓,,,,,,,,,—,—,,anchor
922,U+1F6DF,🛟,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ ring buoy
923,U+26F5,⛵,,,,,,,,,,,,sailboat
924,U+1F6F6,🛶,,,,,,,,—,—,—,—,canoe
925,U+1F6A4,🚤,,,,,,,,,,—,—,speedboat
926,U+1F6F3,🛳,,,,,,,,—,—,—,—,passenger ship
927,U+26F4,⛴,,,,,,,,—,—,—,—,ferry
928,U+1F6E5,🛥,,,,,,,,—,—,—,—,motor boat
929,U+1F6A2,🚢,,,,,,,,,,,,ship
transport-air,transport-air,transport-air,transport-air,transport-air,transport-air,transport-air,transport-air,transport-air,transport-air,transport-air,transport-air,transport-air,transport-air,transport-air
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
930,U+2708,✈,,,,,,,,,,,,airplane
931,U+1F6E9,🛩,,,,,,,,—,—,—,—,small airplane
932,U+1F6EB,🛫,,,,,,,,—,—,—,—,airplane departure
933,U+1F6EC,🛬,,,,,,,,—,—,—,—,airplane arrival
934,U+1FA82,🪂,,,,,,,,—,—,—,—,parachute
935,U+1F4BA,💺,,,,,,,,,,,—,seat
936,U+1F681,🚁,,,,,,,,—,—,—,—,helicopter
937,U+1F69F,🚟,,,,,,,,—,—,—,—,suspension railway
938,U+1F6A0,🚠,,,,,,,,—,—,—,—,mountain cableway
939,U+1F6A1,🚡,,,,,,,,—,—,—,—,aerial tramway
940,U+1F6F0,🛰,,,,,,,,—,—,—,—,satellite
941,U+1F680,🚀,,,,,,,,,,—,,rocket
942,U+1F6F8,🛸,,,,,,,,—,—,—,—,flying saucer
hotel,hotel,hotel,hotel,hotel,hotel,hotel,hotel,hotel,hotel,hotel,hotel,hotel,hotel,hotel
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
943,U+1F6CE,🛎,,,,,,,,—,—,—,—,bellhop bell
944,U+1F9F3,🧳,,,,,,,,—,—,—,—,luggage
time,time,time,time,time,time,time,time,time,time,time,time,time,time,time
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
945,U+231B,⌛,,,,,,,,,—,—,,hourglass done
946,U+23F3,⏳,,,,,,,,,—,,,hourglass not done
947,U+231A,⌚,,,,,,,,,—,,,watch
948,U+23F0,⏰,,,,,,,,,—,,,alarm clock
949,U+23F1,⏱,,,,,,,,—,—,—,—,stopwatch
950,U+23F2,⏲,,,,,,,,—,—,—,—,timer clock
951,U+1F570,🕰,,,,,,,,—,—,—,—,mantelpiece clock
952,U+1F55B,🕛,,,,,,,,,,—,—,twelve o’clock
953,U+1F567,🕧,,,,,,,,—,—,—,—,twelve-thirty
954,U+1F550,🕐,,,,,,,,,,—,—,one o’clock
955,U+1F55C,🕜,,,,,,,,—,—,—,—,one-thirty
956,U+1F551,🕑,,,,,,,,,,—,—,two o’clock
957,U+1F55D,🕝,,,,,,,,—,—,—,—,two-thirty
958,U+1F552,🕒,,,,,,,,,,—,—,three o’clock
959,U+1F55E,🕞,,,,,,,,—,—,—,—,three-thirty
960,U+1F553,🕓,,,,,,,,,,—,—,four o’clock
961,U+1F55F,🕟,,,,,,,,—,—,—,—,four-thirty
962,U+1F554,🕔,,,,,,,,,,—,—,five o’clock
963,U+1F560,🕠,,,,,,,,—,—,—,—,five-thirty
964,U+1F555,🕕,,,,,,,,,,—,—,six o’clock
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
965,U+1F561,🕡,,,,,,,,—,—,—,—,six-thirty
966,U+1F556,🕖,,,,,,,,,,—,—,seven o’clock
967,U+1F562,🕢,,,,,,,,—,—,—,—,seven-thirty
968,U+1F557,🕗,,,,,,,,,,—,—,eight o’clock
969,U+1F563,🕣,,,,,,,,—,—,—,—,eight-thirty
970,U+1F558,🕘,,,,,,,,,,—,—,nine o’clock
971,U+1F564,🕤,,,,,,,,—,—,—,—,nine-thirty
972,U+1F559,🕙,,,,,,,,,,—,—,ten o’clock
973,U+1F565,🕥,,,,,,,,—,—,—,—,ten-thirty
974,U+1F55A,🕚,,,,,,,,,,—,—,eleven o’clock
975,U+1F566,🕦,,,,,,,,—,—,—,—,eleven-thirty
sky & weather,sky & weather,sky & weather,sky & weather,sky & weather,sky & weather,sky & weather,sky & weather,sky & weather,sky & weather,sky & weather,sky & weather,sky & weather,sky & weather,sky & weather
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
976,U+1F311,🌑,,,,,,,,,—,,,new moon
977,U+1F312,🌒,,,,,,,,—,—,—,—,waxing crescent moon
978,U+1F313,🌓,,,,,,,,,—,,,first quarter moon
979,U+1F314,🌔,,,,,,,,,—,,,waxing gibbous moon
980,U+1F315,🌕,,,,,,,,,—,,—,full moon
981,U+1F316,🌖,,,,,,,,—,—,—,—,waning gibbous moon
982,U+1F317,🌗,,,,,,,,—,—,—,—,last quarter moon
983,U+1F318,🌘,,,,,,,,—,—,—,—,waning crescent moon
984,U+1F319,🌙,,,,,,,,,,,,crescent moon
985,U+1F31A,🌚,,,,,,,,—,—,—,—,new moon face
986,U+1F31B,🌛,,,,,,,,,—,—,,first quarter moon face
987,U+1F31C,🌜,,,,,,,,—,—,—,—,last quarter moon face
988,U+1F321,🌡,,,,,,,,—,—,—,—,thermometer
989,U+2600,☀,,,,,,,,,,,,sun
990,U+1F31D,🌝,,,,,,,,—,—,—,—,full moon face
991,U+1F31E,🌞,,,,,,,,—,—,—,—,sun with face
992,U+1FA90,🪐,,,,,,,,—,—,—,—,ringed planet
993,U+2B50,⭐,,,,,,,,—,,—,,star
994,U+1F31F,🌟,,,,,,,,,,—,—,glowing star
995,U+1F320,🌠,,,,,,,,,—,—,,shooting star
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
996,U+1F30C,🌌,,,,,,,,,—,—,,milky way
997,U+2601,☁,,,,,,,,,,,,cloud
998,U+26C5,⛅,,,,,,,,,—,—,,sun behind cloud
999,U+26C8,⛈,,,,,,,,—,—,—,—,cloud with lightning and rain
1000,U+1F324,🌤,,,,,,,,—,—,—,—,sun behind small cloud
1001,U+1F325,🌥,,,,,,,,—,—,—,—,sun behind large cloud
1002,U+1F326,🌦,,,,,,,,—,—,—,—,sun behind rain cloud
1003,U+1F327,🌧,,,,,,,,—,—,—,—,cloud with rain
1004,U+1F328,🌨,,,,,,,,—,—,—,—,cloud with snow
1005,U+1F329,🌩,,,,,,,,—,—,—,—,cloud with lightning
1006,U+1F32A,🌪,,,,,,,,—,—,—,—,tornado
1007,U+1F32B,🌫,,,,,,,,—,—,—,—,fog
1008,U+1F32C,🌬,,,,,,,,—,—,—,—,wind face
1009,U+1F300,🌀,,,,,,,,,,,,cyclone
1010,U+1F308,🌈,,,,,,,,,,—,,rainbow
1011,U+1F302,🌂,,,,,,,,,,,,closed umbrella
1012,U+2602,☂,,,,,,,,—,—,—,—,umbrella
1013,U+2614,☔,,,,,,,,,,,,umbrella with rain drops
1014,U+26F1,⛱,,,,,,,,—,—,—,—,umbrella on ground
1015,U+26A1,⚡,,,,,,,,,,,,high voltage
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
1016,U+2744,❄,,,,,,,,,—,—,,snowflake
1017,U+2603,☃,,,,,,,,—,—,—,—,snowman
1018,U+26C4,⛄,,,,,,,,,,,,snowman without snow
1019,U+2604,☄,,,,,,,,—,—,—,—,comet
1020,U+1F525,🔥,,,,,,,,,,—,,fire
1021,U+1F4A7,💧,,,,,,,,,—,,,droplet
1022,U+1F30A,🌊,,,,,,,,,,,,water wave
Activities,Activities,Activities,Activities,Activities,Activities,Activities,Activities,Activities,Activities,Activities,Activities,Activities,Activities,Activities
event,event,event,event,event,event,event,event,event,event,event,event,event,event,event
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
1023,U+1F383,🎃,,,,,,,,,,—,,jack-o-lantern
1024,U+1F384,🎄,,,,,,,,,,,,Christmas tree
1025,U+1F386,🎆,,,,,,,,,,—,,fireworks
1026,U+1F387,🎇,,,,,,,,,,—,,sparkler
1027,U+1F9E8,🧨,,,,,,,,—,—,—,—,firecracker
1028,U+2728,✨,,,,,,,,,,,,sparkles
1029,U+1F388,🎈,,,,,,,,,,—,,balloon
1030,U+1F389,🎉,,,,,,,,,,—,,party popper
1031,U+1F38A,🎊,,,,,,,,,—,—,,confetti ball
1032,U+1F38B,🎋,,,,,,,,,—,—,,tanabata tree
1033,U+1F38D,🎍,,,,,,,,,,—,,pine decoration
1034,U+1F38E,🎎,,,,,,,,,,—,,Japanese dolls
1035,U+1F38F,🎏,,,,,,,,,,—,,carp streamer
1036,U+1F390,🎐,,,,,,,,,,—,,wind chime
1037,U+1F391,🎑,,,,,,,,,,—,,moon viewing ceremony
1038,U+1F9E7,🧧,,,,,,,,—,—,—,—,red envelope
1039,U+1F380,🎀,,,,,,,,,,,,ribbon
1040,U+1F381,🎁,,,,,,,,,,,,wrapped gift
1041,U+1F397,🎗,,,,,,,,—,—,—,—,reminder ribbon
1042,U+1F39F,🎟,,,,,,,,—,—,—,—,admission tickets
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
1043,U+1F3AB,🎫,,,,,,,,,,,,ticket
award-medal,award-medal,award-medal,award-medal,award-medal,award-medal,award-medal,award-medal,award-medal,award-medal,award-medal,award-medal,award-medal,award-medal,award-medal
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
1044,U+1F396,🎖,,,,,,,,—,—,—,—,military medal
1045,U+1F3C6,🏆,,,,,,,,,,—,,trophy
1046,U+1F3C5,🏅,,,,,,,,—,—,—,—,sports medal
1047,U+1F947,🥇,,,,,,,,—,—,—,—,1st place medal
1048,U+1F948,🥈,,,,,,,,—,—,—,—,2nd place medal
1049,U+1F949,🥉,,,,,,,,—,—,—,—,3rd place medal
sport,sport,sport,sport,sport,sport,sport,sport,sport,sport,sport,sport,sport,sport,sport
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
1050,U+26BD,⚽,,,,,,,,,,,,soccer ball
1051,U+26BE,⚾,,,,,,,,,,,,baseball
1052,U+1F94E,🥎,,,,,,,,—,—,—,—,softball
1053,U+1F3C0,🏀,,,,,,,,,,,,basketball
1054,U+1F3D0,🏐,,,,,,,,—,—,—,—,volleyball
1055,U+1F3C8,🏈,,,,,,,,,,—,,american football
1056,U+1F3C9,🏉,,,,,,,,—,—,—,—,rugby football
1057,U+1F3BE,🎾,,,,,,,,,,,,tennis
1058,U+1F94F,🥏,,,,,,,,—,—,—,—,flying disc
1059,U+1F3B3,🎳,,,,,,,,,—,—,,bowling
1060,U+1F3CF,🏏,,,,,,,,—,—,—,—,cricket game
1061,U+1F3D1,🏑,,,,,,,,—,—,—,—,field hockey
1062,U+1F3D2,🏒,,,,,,,,—,—,—,—,ice hockey
1063,U+1F94D,🥍,,,,,,,,—,—,—,—,lacrosse
1064,U+1F3D3,🏓,,,,,,,,—,—,—,—,ping pong
1065,U+1F3F8,🏸,,,,,,,,—,—,—,—,badminton
1066,U+1F94A,🥊,,,,,,,,—,—,—,—,boxing glove
1067,U+1F94B,🥋,,,,,,,,—,—,—,—,martial arts uniform
1068,U+1F945,🥅,,,,,,,,—,—,—,—,goal net
1069,U+26F3,⛳,,,,,,,,,,,,flag in hole
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
1070,U+26F8,⛸,,,,,,,,—,—,—,—,ice skate
1071,U+1F3A3,🎣,,,,,,,,,—,—,,fishing pole
1072,U+1F93F,🤿,,,,,,,,—,—,—,—,diving mask
1073,U+1F3BD,🎽,,,,,,,,,—,,—,running shirt
1074,U+1F3BF,🎿,,,,,,,,,,,,skis
1075,U+1F6F7,🛷,,,,,,,,—,—,—,—,sled
1076,U+1F94C,🥌,,,,,,,,—,—,—,—,curling stone
game,game,game,game,game,game,game,game,game,game,game,game,game,game,game
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
1077,U+1F3AF,🎯,,,,,,,,,,—,,bullseye
1078,U+1FA80,🪀,,,,,,,,—,—,—,—,yo-yo
1079,U+1FA81,🪁,,,,,,,,—,—,—,—,kite
1080,U+1F3B1,🎱,,,,,,,,,,—,,pool 8 ball
1081,U+1F52E,🔮,,,,,,,,,—,—,,crystal ball
1082,U+1FA84,🪄,,,—,—,,,—,—,—,—,—,magic wand
1083,U+1F9FF,🧿,,,,,,,,—,—,—,—,nazar amulet
1084,U+1FAAC,🪬,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ hamsa
1085,U+1F3AE,🎮,,,,,,,,,—,,,video game
1086,U+1F579,🕹,,,,,,,,—,—,—,—,joystick
1087,U+1F3B0,🎰,,,,,,,,,,—,,slot machine
1088,U+1F3B2,🎲,,,,,,,,,—,—,,game die
1089,U+1F9E9,🧩,,,,,,,,—,—,—,—,puzzle piece
1090,U+1F9F8,🧸,,,,,,,,—,—,—,—,teddy bear
1091,U+1FA85,🪅,,,—,—,,,—,—,—,—,—,piñata
1092,U+1FAA9,🪩,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ mirror ball
1093,U+1FA86,🪆,,,—,—,,,—,—,—,—,—,nesting dolls
1094,U+2660,♠,,,,,,,,,,,,spade suit
1095,U+2665,♥,,,,,,,,,,,,heart suit
1096,U+2666,♦,,,,,,,,,,,,diamond suit
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
1097,U+2663,♣,,,,,,,,,,,,club suit
1098,U+265F,♟,,,,,,,,—,—,—,—,chess pawn
1099,U+1F0CF,🃏,,,,,,,,,—,—,,joker
1100,U+1F004,🀄,,,,,,,,,,—,,mahjong red dragon
1101,U+1F3B4,🎴,,,,,,,,,—,—,,flower playing cards
arts & crafts,arts & crafts,arts & crafts,arts & crafts,arts & crafts,arts & crafts,arts & crafts,arts & crafts,arts & crafts,arts & crafts,arts & crafts,arts & crafts,arts & crafts,arts & crafts,arts & crafts
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
1102,U+1F3AD,🎭,,,,,,,,,—,—,,performing arts
1103,U+1F5BC,🖼,,,,,,,,—,—,—,—,framed picture
1104,U+1F3A8,🎨,,,,,,,,,,,,artist palette
1105,U+1F9F5,🧵,,,,,,,,—,—,—,—,thread
1106,U+1FAA1,🪡,,,—,—,,,—,—,—,—,—,sewing needle
1107,U+1F9F6,🧶,,,,,,,,—,—,—,—,yarn
1108,U+1FAA2,🪢,,,—,—,,,—,—,—,—,—,knot
Objects,Objects,Objects,Objects,Objects,Objects,Objects,Objects,Objects,Objects,Objects,Objects,Objects,Objects,Objects
clothing,clothing,clothing,clothing,clothing,clothing,clothing,clothing,clothing,clothing,clothing,clothing,clothing,clothing,clothing
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
1109,U+1F453,👓,,,,,,,,,—,,,glasses
1110,U+1F576,🕶,,,,,,,,—,—,—,—,sunglasses
1111,U+1F97D,🥽,,,,,,,,—,—,—,—,goggles
1112,U+1F97C,🥼,,,,,,,,—,—,—,—,lab coat
1113,U+1F9BA,🦺,,,,,,,,—,—,—,—,safety vest
1114,U+1F454,👔,,,,,,,,,,—,,necktie
1115,U+1F455,👕,,,,,,,,,,,,t-shirt
1116,U+1F456,👖,,,,,,,,,—,,,jeans
1117,U+1F9E3,🧣,,,,,,,,—,—,—,—,scarf
1118,U+1F9E4,🧤,,,,,,,,—,—,—,—,gloves
1119,U+1F9E5,🧥,,,,,,,,—,—,—,—,coat
1120,U+1F9E6,🧦,,,,,,,,—,—,—,—,socks
1121,U+1F457,👗,,,,,,,,,,—,,dress
1122,U+1F458,👘,,,,,,,,,,—,,kimono
1123,U+1F97B,🥻,,,,,,,,—,—,—,—,sari
1124,U+1FA71,🩱,,,,,,,,—,—,—,—,one-piece swimsuit
1125,U+1FA72,🩲,,,,,,,,—,—,—,—,briefs
1126,U+1FA73,🩳,,,,,,,,—,—,—,—,shorts
1127,U+1F459,👙,,,,,,,,,,—,,bikini
1128,U+1F45A,👚,,,,,,,,,—,—,,woman’s clothes
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
1129,U+1F45B,👛,,,,,,,,,—,,,purse
1130,U+1F45C,👜,,,,,,,,,,,,handbag
1131,U+1F45D,👝,,,,,,,,,—,,—,clutch bag
1132,U+1F6CD,🛍,,,,,,,,—,—,—,—,shopping bags
1133,U+1F392,🎒,,,,,,,,,,—,,backpack
1134,U+1FA74,🩴,,,—,—,,,—,—,—,—,—,thong sandal
1135,U+1F45E,👞,,,,,,,,,—,—,,man’s shoe
1136,U+1F45F,👟,,,,,,,,,,,,running shoe
1137,U+1F97E,🥾,,,,,,,,—,—,—,—,hiking boot
1138,U+1F97F,🥿,,,,,,,,—,—,—,—,flat shoe
1139,U+1F460,👠,,,,,,,,,,,,high-heeled shoe
1140,U+1F461,👡,,,,,,,,,,—,—,woman’s sandal
1141,U+1FA70,🩰,,,,,,,,—,—,—,—,ballet shoes
1142,U+1F462,👢,,,,,,,,,,—,,woman’s boot
1143,U+1F451,👑,,,,,,,,,,,,crown
1144,U+1F452,👒,,,,,,,,,,—,,woman’s hat
1145,U+1F3A9,🎩,,,,,,,,,,,,top hat
1146,U+1F393,🎓,,,,,,,,,,—,,graduation cap
1147,U+1F9E2,🧢,,,,,,,,—,—,—,—,billed cap
1148,U+1FA96,🪖,,,—,—,,,—,—,—,—,—,military helmet
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
1149,U+26D1,⛑,,,,,,,,—,—,—,—,rescue worker’s helmet
1150,U+1F4FF,📿,,,,,,,,—,—,—,—,prayer beads
1151,U+1F484,💄,,,,,,,,,,,,lipstick
1152,U+1F48D,💍,,,,,,,,,,,,ring
1153,U+1F48E,💎,,,,,,,,,,—,—,gem stone
sound,sound,sound,sound,sound,sound,sound,sound,sound,sound,sound,sound,sound,sound,sound
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
1154,U+1F507,🔇,,,,,,,,—,—,—,—,muted speaker
1155,U+1F508,🔈,,,,,,,,—,—,—,—,speaker low volume
1156,U+1F509,🔉,,,,,,,,—,—,—,—,speaker medium volume
1157,U+1F50A,🔊,,,,,,,,,,—,,speaker high volume
1158,U+1F4E2,📢,,,,,,,,,,—,—,loudspeaker
1159,U+1F4E3,📣,,,,,,,,,,—,—,megaphone
1160,U+1F4EF,📯,,,,,,,,—,—,—,—,postal horn
1161,U+1F514,🔔,,,,,,,,,,,,bell
1162,U+1F515,🔕,,,,,,,,—,—,—,—,bell with slash
music,music,music,music,music,music,music,music,music,music,music,music,music,music,music
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
1163,U+1F3BC,🎼,,,,,,,,,—,—,,musical score
1164,U+1F3B5,🎵,,,,,,,,,,,,musical note
1165,U+1F3B6,🎶,,,,,,,,,,,,musical notes
1166,U+1F399,🎙,,,,,,,,—,—,—,—,studio microphone
1167,U+1F39A,🎚,,,,,,,,—,—,—,—,level slider
1168,U+1F39B,🎛,,,,,,,,—,—,—,—,control knobs
1169,U+1F3A4,🎤,,,,,,,,,,,,microphone
1170,U+1F3A7,🎧,,,,,,,,,,,,headphone
1171,U+1F4FB,📻,,,,,,,,,,—,,radio
musical-instrument,musical-instrument,musical-instrument,musical-instrument,musical-instrument,musical-instrument,musical-instrument,musical-instrument,musical-instrument,musical-instrument,musical-instrument,musical-instrument,musical-instrument,musical-instrument,musical-instrument
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
1172,U+1F3B7,🎷,,,,,,,,,,—,—,saxophone
1173,U+1FA97,🪗,,,—,—,,,—,—,—,—,—,accordion
1174,U+1F3B8,🎸,,,,,,,,,,—,,guitar
1175,U+1F3B9,🎹,,,,,,,,,—,—,,musical keyboard
1176,U+1F3BA,🎺,,,,,,,,,,—,,trumpet
1177,U+1F3BB,🎻,,,,,,,,,—,—,,violin
1178,U+1FA95,🪕,,,,,,,,—,—,—,—,banjo
1179,U+1F941,🥁,,,,,,,,—,—,—,—,drum
1180,U+1FA98,🪘,,,—,—,,,—,—,—,—,—,long drum
phone,phone,phone,phone,phone,phone,phone,phone,phone,phone,phone,phone,phone,phone,phone
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
